property_id,lat,lng,guests,init_price
9080772,-36.4188,148.621,10,350
9096264,-35.012085,150.8254,8,328
9151070,-35.340458,150.46426,8,249
9012574,-32.7383,151.099,16,970
9185654,-32.924488,151.74164,8,170
9007287,-35.005188,150.70885,5,188
9016485,-30.2487,153.143,9,565
9082905,-36.4024,150.062,4,185
9132136,-35.32429,150.47888,8,306
9179007,-36.54137,150.03447,7,613
9107396,-34.929585,150.77011,8,247
9123458,-33.722458,150.37146,12,506
9024318,-35.0718,150.684,16,727
9208820,-33.53884,151.30493,4,305
9067729,-36.5013,148.31,6,266
9176227,-33.286762,149.09018,7,161
9216552,-36.063576,150.12416,6,256
9026337,-36.4179,148.626,6,200
9069072,-33.43125,151.05113,4,260
9202765,-34.47377,150.40102,7,525
9050878,-34.7769,150.699,4,190
9169037,-33.495747,151.34772,8,339
9166132,-32.590416,149.59006,10,935
9015115,-35.662,150.294,8,185
9068271,-28.871746,153.58653,4,110
9173459,-33.722015,150.30724,8,480
9030183,-35.5823,148.305,7,154
9190197,-32.731903,152.03954,8,250
9177461,-35.70133,150.23207,6,225
9136610,-32.79562,149.97404,6,327
9012067,-34.72959,150.52338,7,293
9060812,-36.4284,148.603,4,128
9191663,-32.80395,151.34122,14,1191
9014220,-28.634594,153.59897,5,220
9071475,-33.64061,150.29774,5,121
9171951,-35.01176,150.68835,16,288
9184556,-28.66487,153.59334,6,327
9191645,-32.723877,151.3865,15,1529
9162472,-33.870354,151.19789,4,405
9065520,-35.3216,150.481,8,368
9170932,-33.717865,150.37521,4,229
9215730,-32.264935,148.60866,6,160
9188792,-33.72099,150.31021,6,158
9053613,-33.61842,149.88576,12,256
9079910,-33.878,151.218,8,310
9005807,-32.2558,152.52,10,593
9185541,-32.51726,149.60768,8,195
9014772,-34.7458,150.828,8,332
9132793,-36.42142,148.61403,10,400
9181218,-34.484913,150.416,6,253
9151155,-33.339878,151.49722,12,259
9182445,-32.745094,151.3216,12,640
9176419,-35.014317,150.68666,9,217
9179901,-33.600697,151.32149,2,295
9053423,-35.4418,150.399,10,214
9142789,-31.1931,152.973,10,205
9200828,-34.426975,150.8995,7,383
9185860,-34.93067,150.76805,7,245
9191213,-32.591976,149.59247,10,600
9222650,-34.92374,150.76581,6,326
9032374,-32.7493,151.103,9,635
9174799,-33.378597,151.45003,20,704
9059928,-34.485966,150.33772,3,114
9077038,-35.0703,150.678,2,260
9064241,-35.005867,150.7018,8,195
9004948,-33.489,151.441,6,182
9062057,-33.7245,150.299,10,327
9177897,-36.944546,149.9112,2,132
9216852,-32.604263,149.58772,10,221
9084577,-33.542908,151.30536,11,424
9203849,-33.49125,151.43764,18,1020
9206378,-32.886677,151.2465,14,1246
9122827,-34.487164,150.41907,10,433
9069069,-35.7116,150.182,9,162
9052123,-28.2782,153.578,4,118
9109895,-36.442276,148.4495,3,207
9076897,-28.641462,153.60686,10,317
9153438,-36.417953,148.61969,2,120
9117016,-34.30936,150.93277,2,112
9028328,-36.167,150.118,6,153
9187871,-34.675903,150.84517,8,500
9174094,-28.666683,153.59451,3,150
9144581,-35.32889,150.47704,8,307
9004577,-33.633377,150.28818,8,471
9095715,-35.013126,150.82732,12,231
9173589,-33.61601,151.2046,4,363
9023254,-33.6808,150.287,8,207
9031585,-28.6511,153.615,6,212
9192269,-32.190968,152.53291,6,121
9026937,-33.71781,150.34618,12,899
9193986,-31.443403,152.92448,5,127
9023609,-33.728504,150.34004,6,323
9014177,-30.243694,153.14536,2,145
9192968,-33.64099,150.28902,2,123
9204651,-31.051447,153.04378,5,250
9178168,-33.6017,151.118,6,527
9163251,-32.7211,152.15553,2,146
9134096,-35.78266,150.22682,6,316
9115778,-33.7129,150.308,2,139
9094119,-35.098663,150.6529,9,173
9118591,-31.448978,152.92708,9,163
9185904,-32.722214,151.32079,29,1821
9023388,-32.545322,151.51059,25,953
9184623,-28.655561,153.61676,6,300
9198157,-34.777485,150.69827,4,263
9181878,-32.69593,151.35985,8,368
9117633,-34.72314,150.50748,9,353
9082944,-34.9331,150.775,8,446
9173963,-34.732265,150.68703,20,1171
9059153,-28.661608,153.59752,2,238
9132566,-34.73365,150.83365,8,550
9057342,-33.324635,151.4407,6,306
9205262,-34.658844,150.8351,4,225
9213030,-33.6356,150.285,6,276
9033172,-33.71808,150.31549,6,166
9102083,-35.3409,150.473,6,145
9064306,-33.133354,151.57356,11,205
9209680,-32.575294,149.61589,10,230
9208654,-32.5435,151.578,10,218
9026474,-33.85838,151.20358,6,379
9190154,-35.838406,150.18109,13,722
9067367,-35.0391,150.67065,6,200
9147199,-32.54328,151.81615,12,665
9067717,-33.6281,150.278,4,193
9080013,-32.7492,152.17,8,223
9056665,-33.722034,150.31398,10,171
9163849,-29.437534,153.3529,8,145
9007290,-34.7685,150.814,8,425
9200639,-34.917404,150.76425,6,520
9085873,-35.3229,150.388,4,227
9025052,-28.689468,153.61092,2,125
9114972,-34.930656,150.78128,8,508
9209322,-32.884247,151.40434,12,453
9065065,-30.3971,152.884,12,498
9136324,-34.769382,150.8174,10,542
9119781,-32.348022,152.53932,8,363
9175847,-34.934433,150.76901,8,167
9150758,-33.82509,151.25098,5,344
9109538,-35.650417,150.14534,5,195
9063088,-28.6892,153.613,12,800
9209158,-35.43711,150.4037,8,180
9071120,-35.3239,150.484,8,180
9205519,-35.32375,150.48004,4,279
9135595,-32.7349,151.383,4,202
9175890,-33.340435,149.0828,14,1126
9216643,-32.58559,149.57341,8,389
9112903,-34.916855,150.76425,8,570
9114125,-33.716503,150.30707,12,271
9135234,-32.5922,149.584,10,160
9104775,-36.8592,149.933,10,278
9143442,-33.7641,151.296,6,423
9033115,-33.7222,150.345,2,230
9152317,-35.01204,150.82552,7,363
9087325,-36.504284,148.30676,6,287
9198835,-33.02487,151.41217,8,156
9099203,-34.3309,150.926,8,640
9147007,-33.413803,150.91962,8,167
9033916,-28.27691,153.57738,5,204
9173402,-34.734486,150.83391,10,948
9181151,-30.517937,151.66791,6,200
9024954,-34.0822,151.156,6,460
9142052,-30.369413,153.10085,4,187
9102787,-35.01693,150.82146,8,122
9026342,-28.6489,153.616,5,251
9015535,-32.7875,151.289,4,232
9077089,-28.641706,153.60675,14,514
9117059,-32.7407,151.237,8,536
9198406,-35.36057,150.47246,8,405
9169704,-35.99693,146.3959,12,177
9086047,-35.329132,150.4761,9,369
9181676,-34.353504,148.84859,8,160
9192049,-35.113815,150.63652,7,110
9138458,-33.7237,150.346,8,330
9100538,-33.4645,151.43,6,383
9155014,-35.005188,150.70528,17,274
9091591,-33.7753,151.289,12,870
9067986,-33.92235,151.25577,4,193
9197420,-34.82082,150.5429,2,315
9131251,-31.448,152.93,6,203
9201279,-32.86142,151.25488,12,1064
9116334,-33.235176,151.54198,7,195
9187165,-33.429317,151.4187,12,1571
9186378,-35.256004,150.52292,8,122
9156304,-33.79782,151.17975,2,130
9182444,-32.902786,151.15018,10,822
9155227,-33.545246,151.30412,8,490
9080949,-32.782757,151.2903,6,351
9176855,-33.276352,149.0964,5,200
9200371,-34.583332,150.58333,10,532
9195976,-35.317795,150.47282,10,563
9154840,-35.015533,150.82312,6,238
9204526,-33.848545,151.2062,4,292
9079855,-33.50952,151.19435,5,255
9026784,-32.724,152.17384,6,158
9151659,-31.57476,152.83401,10,463
9198647,-34.05308,150.64061,4,212
9181277,-34.75209,150.49802,6,413
9114655,-35.01871,150.8272,9,249
9062742,-33.63204,150.29489,4,179
9134773,-33.717346,150.30905,3,107
9075072,-28.786976,153.5928,4,250
9162773,-29.773771,153.29767,6,105
9097002,-32.679817,152.16283,8,255
9095164,-28.256964,153.57756,6,307
9168459,-33.528606,151.36044,8,860
9154578,-32.600048,149.59328,2,132
9214231,-33.865414,151.28209,12,625
9151996,-33.422802,151.41142,8,225
9084021,-30.367,153.102,4,163
9181248,-34.66959,150.85197,6,238
9072852,-33.708214,150.32974,5,217
9202069,-33.41826,151.45894,12,1280
9060768,-28.644436,153.49792,5,297
9132745,-31.45936,152.91847,4,140
9004822,-35.70547,150.22084,8,275
9161490,-30.48787,153.00842,5,117
9108114,-33.716793,150.36864,12,400
9122496,-33.8012,151.284,3,206
9107877,-32.38018,152.50607,8,241
9085599,-36.1699,150.13,6,43
9137578,-33.280617,149.09135,4,190
9152879,-28.539703,153.55017,4,273
9183026,-33.48921,151.43259,12,565
9157240,-33.797916,151.17978,4,178
9149348,-31.1117,150.916,8,155
9198192,-31.478895,152.92686,12,658
9122106,-31.42386,152.89265,6,300
9021149,-33.548885,151.27286,8,359
9194793,-33.44444,149.1814,7,204
9209718,-35.05822,150.67148,8,330
9208710,-34.6918,150.84776,12,590
9074019,-35.0417,150.674,7,313
9005230,-36.9339,149.606,6,100
9194352,-33.551537,151.26907,10,666
9085136,-34.68294,149.84329,8,201
9206113,-33.890713,151.26538,4,217
9147610,-33.6913,150.366,6,504
9016898,-32.8237,151.352,10,94
9190393,-32.415882,151.55452,10,450
9148674,-33.2841,149.108,10,175
9020305,-34.7656,150.675,2,303
9151420,-33.69326,150.37401,6,410
9023576,-33.499,151.424,6,198
9021380,-36.4216,148.621,8,98
9168084,-35.04798,150.67159,2,185
9201282,-34.082684,151.15617,8,242
9192186,-30.231422,153.13495,6,279
9146732,-32.54647,149.54152,6,160
9050208,-35.5113,150.395,8,160
9188660,-35.8115,150.22456,12,462
9170663,-33.299534,149.00063,8,210
9064026,-34.7708,150.815,6,301
9030559,-35.5127,150.399,12,241
9017572,-33.5474,151.253,12,1380
9135170,-34.5094,144.838,6,135
9197652,-33.71219,150.37637,8,311
9026168,-33.7549,151.293,4,162
9217361,-33.5451,151.30586,6,395
9013800,-36.4993,148.312,6,268
9192860,-34.77119,150.81673,8,491
9028355,-31.188766,152.97285,6,160
9169001,-32.34731,152.54044,8,296
9177453,-30.363838,153.0993,6,270
9216230,-35.138584,147.38734,11,250
9217263,-31.11659,150.89766,8,413
9186879,-33.344997,151.5006,6,163
9110723,-30.304136,153.11197,12,278
9197295,-35.34664,150.47308,11,502
9161205,-31.640419,152.81496,3,100
9184055,-33.88874,151.2734,7,434
9065508,-32.993645,151.6314,8,407
9140495,-32.7349,151.383,10,450
9020129,-33.628334,150.27821,8,250
9150712,-32.34159,152.54042,5,118
9151178,-33.29397,148.62218,6,172
9108358,-33.5391,151.236,8,308
9210161,-35.8186,150.22,8,143
9029804,-33.5937,150.253,6,200
9221054,-32.256824,148.61613,5,175
9196934,-28.614233,153.44208,7,218
9143567,-34.9325,150.774,4,468
9152044,-36.42087,148.63014,6,133
9065646,-32.7426,152.09,8,99
9212571,-34.478542,150.42143,2,140
9000008,-32.3897,152.502,10,261
9191045,-33.451134,151.4442,6,250
9135391,-36.4045,148.414,6,700
9144936,-35.32,150.474,8,385
9177133,-35.00608,150.70523,15,267
9193304,-29.8671,153.2661,9,152
9072778,-31.4434,152.924,6,223
9085554,-34.51099,150.39818,7,435
9188776,-33.724216,150.37064,7,263
9109724,-36.4492,148.632,4,160
9213237,-34.71848,150.50813,18,2000
9193001,-34.92609,150.76422,8,480
9170590,-34.773567,150.69608,4,253
9196454,-28.32962,153.5699,3,179
9066268,-32.7446,151.067,12,737
9203449,-30.2332,153.148,2,200
9169349,-28.502396,153.464,4,216
9181793,-33.67619,151.27486,17,1061
9049827,-34.4894,150.335,2,180
9188903,-34.20616,149.74571,8,447
9029877,-35.0426,150.669,6,147
9012355,-30.2823,153.129,6,206
9033384,-35.8563,150.171,5,150
9030703,-28.2778,153.577,6,194
9212407,-33.49179,151.42856,12,950
9169462,-33.803154,151.28665,4,288
9017999,-28.8691,153.569,5,183
9094056,-32.9493,151.302,3,185
9029718,-32.3851,152.498,14,272
9117887,-32.78576,151.2893,4,216
9137544,-34.7708,150.815,6,350
9200870,-30.591557,153.01134,6,196
9180023,-34.59592,150.51965,9,244
9186197,-34.081112,151.15884,2,273
9193309,-32.57505,149.84424,4,100
9225613,-33.51549,151.3351,4,123
9028115,-34.774147,150.69653,8,314
9182090,-35.100834,150.653,4,250
9132065,-31.445208,152.92696,4,96
9213280,-34.555553,150.86717,12,456
9098436,-35.8102,150.225,6,228
9009145,-33.447933,151.44324,6,222
9133833,-33.79756,151.18219,4,259
9213730,-34.930935,150.78268,7,475
9178335,-35.372234,150.47173,10,253
9134557,-33.886066,151.21124,5,282
9178289,-33.885284,151.2831,6,428
9108464,-33.8908,151.275,2,234
9006335,-32.7144,151.299,8,263
9171934,-34.05022,151.1542,4,181
9171096,-35.827106,150.1921,6,180
9212306,-35.3393,150.474,8,431
9111002,-33.731808,150.3384,6,440
9181956,-33.7141,150.331,4,101
9215313,-34.765614,150.67839,12,850
9208136,-35.70344,150.22098,8,676
9152083,-33.588123,150.24782,2,138
9010501,-32.386665,152.5059,8,163
9056303,-28.6399,153.629,8,1100
9122851,-33.6375,151.324,2,115
9182432,-35.703804,150.21597,7,105
9169448,-30.24378,153.14598,11,486
9110450,-32.897606,151.15471,15,381
9161642,-33.260384,151.56158,8,760
9011327,-35.10185,150.69293,4,131
9179904,-35.62933,150.32405,6,115
9000030,-32.3898,152.502,8,190
9159631,-30.3699,153.09969,6,235
9180431,-35.015095,150.82416,6,150
9110245,-33.87865,151.21686,2,174
9196435,-33.89214,151.2756,3,330
9171792,-29.776436,153.29756,6,133
9176834,-32.73193,151.0997,13,797
9050643,-35.2061,150.548,5,92
9161352,-33.63725,150.28896,4,239
9198822,-34.08416,151.15164,6,436
9033857,-36.3349,148.632,9,185
9098466,-35.0851,150.689,10,461
9138459,-32.337063,152.54138,9,282
9203069,-34.930603,150.78168,6,518
9205922,-33.539158,151.23824,4,200
9192652,-34.30026,150.93411,10,608
9196063,-32.70813,151.2551,4,468
9079743,-33.5997,151.121,10,700
9154219,-32.929302,151.76923,6,368
9192199,-35.32015,150.43924,4,225
9185962,-35.101616,150.69266,7,345
9176445,-36.898937,149.91183,8,300
9102178,-31.0543,153.049,6,162
9190080,-34.082127,151.15651,2,99
9070424,-32.7205,152.135,12,913
9167205,-28.72029,153.52902,12,638
9163365,-33.79761,151.2658,2,160
9218054,-34.279625,150.95216,10,299
9179430,-28.6434,153.612,6,353
9113970,-28.551113,153.42113,5,207
9022762,-33.8012,151.284,10,1002
9202473,-30.372564,153.10106,2,157
9143845,-35.203506,150.54907,9,132
9184018,-32.838238,151.295,21,1884
9170788,-33.336132,151.50412,6,134
9146347,-28.54952,153.432,2,132
9176606,-37.06273,149.90591,6,155
9151059,-33.92047,151.25229,4,255
9140719,-32.4673,149.731,2,68
9136664,-34.2893,150.94,4,131
9076969,-34.768063,150.81512,8,284
9134254,-36.8878,149.911,6,112
9121839,-33.628742,150.28087,10,179
9120541,-36.944862,149.91069,7,254
9133614,-33.6333,150.282,4,147
9180730,-35.17167,150.58707,8,164
9082252,-33.663162,151.30653,5,214
9133358,-32.17956,152.51524,8,367
9074598,-33.665,150.261,2,211
9174838,-30.533499,153.0156,4,153
9097719,-34.6185,150.538,10,800
9217664,-32.765022,151.29358,12,946
9012605,-33.708935,150.30687,6,189
9133928,-32.744415,151.06682,15,930
9011380,-33.496,151.425,6,180
9211763,-33.236584,151.56552,6,203
9208854,-32.596275,149.5907,4,277
9187330,-28.334866,153.57043,5,179
9023036,-33.234932,151.5085,11,343
9131948,-32.382324,152.50636,8,200
9114215,-33.34543,151.50049,5,154
9193520,-29.864859,153.26678,7,170
9116323,-36.019638,146.37695,10,235
9122653,-34.6818,150.854,6,174
9215535,-28.286575,153.57526,4,168
9228503,-32.590652,149.57957,8,254
9215081,-34.3063,150.935,2,91
9174833,-29.6912,152.933,6,165
9102492,-33.548176,151.30467,10,225
9212099,-33.846954,151.21455,9,688
9216909,-33.51486,151.33475,4,123
9180521,-35.006294,150.70192,2,180
9062750,-34.7684,150.815,4,104
9183194,-32.769005,151.2556,16,208
9108016,-32.9314,151.77,7,484
9104598,-33.3432,151.5,5,146
9183801,-34.5857,150.585,12,427
9068572,-35.7103,150.181,3,75
9155420,-32.796947,151.36809,32,2542
9008561,-32.360207,152.38809,6,200
9061555,-33.4992,151.424,6,235
9180914,-30.342148,153.08463,4,81
9027773,-32.3785,152.494,8,263
9220714,-33.425983,151.44104,10,404
9027093,-32.7847,151.288,3,223
9115608,-34.73774,150.8304,7,315
9210971,-33.712055,150.3275,12,413
9061643,-35.0992,150.66,9,142
9180979,-33.52665,150.47885,4,187
9118319,-33.011814,151.71954,8,400
9111138,-28.6805,153.615,6,151
9083525,-28.6407,153.605,14,1012
9197627,-35.02157,150.62154,26,600
9005075,-28.639841,153.60762,6,334
9179136,-35.848495,150.1753,6,166
9137542,-32.5855,149.573,10,150
9004602,-32.17565,152.50151,6,162
9021323,-32.34202,152.53923,6,185
9016347,-32.7194,152.136,3,65
9150881,-33.45428,151.44504,12,468
9072598,-28.2434,153.568,6,153
9185085,-33.920685,151.2528,2,133
9032264,-34.5082,150.403,2,218
9063326,-36.888,149.925,8,190
9019854,-35.025066,150.67198,7,150
9131230,-34.73377,150.83224,6,460
9025347,-36.891838,149.90796,8,225
9211314,-32.78833,151.28757,4,228
9026820,-35.995712,148.65996,4,113
9188500,-34.749916,150.49939,8,440
9011873,-33.473,151.435,8,211
9221025,-34.926838,150.76244,4,153
9199041,-33.44754,149.185,2,251
9086086,-34.540684,150.15903,6,490
9140654,-35.32,150.469,6,216
9067874,-33.4198,149.574,7,180
9220372,-32.906246,151.7876,8,392
9222793,-35.34409,150.47284,7,140
9069720,-32.3771,152.51,8,227
9191484,-34.2778,150.954,6,386
9217461,-35.857803,150.1735,5,279
9219449,-28.64517,153.6144,6,436
9033233,-35.373,150.472,10,924
9176461,-36.8878,149.911,4,155
9212300,-34.489464,150.33824,4,300
9147068,-33.789425,151.28697,7,781
9145931,-36.894043,149.9126,4,130
9170002,-32.596344,149.5823,6,110
9216612,-33.671143,151.31293,6,263
9024205,-35.2587,150.519,8,235
9204600,-30.442741,152.89949,6,128
9150058,-34.93025,150.7694,12,316
9146792,-33.5012,150.496,4,213
9164661,-36.888695,149.91061,8,358
9068687,-33.721092,150.31209,16,454
9064648,-33.63302,150.28334,6,222
9172214,-32.235943,152.47424,5,111
9174941,-34.896393,150.67288,10,450
9207478,-33.89014,151.26135,4,268
9137173,-32.6443,151.391,16,1260
9221862,-29.437986,153.36188,6,163
9226453,-34.851807,150.71892,10,706
9173673,-34.7378,150.536,7,373
9008671,-33.83147,151.01059,4,155
9099109,-33.3948,150.04,8,252
9208386,-36.079464,146.90839,8,190
9132869,-33.0287,151.598,2,210
9190747,-30.513325,151.66466,7,238
9153341,-32.85555,151.32469,8,227
9140684,-30.7456,150.724,8,97
9016633,-32.38777,152.5015,11,271
9211420,-31.193312,152.97485,7,149
9077108,-35.6496,150.292,6,189
9173631,-33.51084,151.35312,6,264
9084168,-31.4397,152.922,6,157
9206432,-33.920467,151.25229,2,202
9204383,-33.512833,151.33347,6,395
9206433,-33.612686,149.13878,8,177
9199270,-28.647652,153.49944,8,500
9017801,-35.7615,150.2,2,216
9010072,-33.259518,151.49309,10,231
9083660,-31.893934,152.66513,6,117
9225759,-34.667583,150.85542,6,465
9196568,-36.504105,148.30634,10,513
9095249,-36.4113,148.636,6,127
9012983,-33.732014,150.25388,8,339
9071395,-29.7804,151.126,8,135
9185621,-30.766668,152.98734,4,116
9121123,-32.927395,151.78923,9,180
9198458,-36.164795,150.12564,5,87
9197984,-34.705795,150.84682,8,844
9032120,-33.6215,150.303,4,319
9015320,-32.182163,152.51476,4,74
9214806,-33.63751,150.28134,6,259
9198409,-35.342102,150.47174,9,302
9217826,-33.27884,149.10103,4,250
9182323,-32.789516,151.31497,8,640
9005444,-32.395702,152.45798,6,281
9174737,-28.650211,153.61568,6,490
9183666,-32.738,151.332,10,707
9033936,-33.475853,151.4379,10,429
9049169,-31.950544,151.93877,4,132
9160968,-35.72919,150.1843,7,155
9000791,-33.491108,151.42772,6,176
9104746,-28.6865,153.524,3,155
9181341,-35.00999,150.6986,8,465
9199831,-33.704044,150.32504,2,123
9053641,-35.3675,150.476,8,309
9068063,-33.7175,150.341,15,471
9169271,-35.50802,150.397,8,282
9093267,-32.750614,151.3119,3,255
9011600,-32.3481,152.535,12,238
9177174,-35.701862,150.22908,9,366
9122495,-33.90554,151.17189,14,370
9011274,-33.498623,151.42392,8,215
9217260,-32.94,151.768,5,190
9006798,-35.7024,150.235,10,250
9138298,-35.064293,150.6735,12,1080
9224620,-32.177784,152.4997,4,122
9201757,-35.20775,150.55157,8,147
9170165,-32.59165,149.60979,14,500
9104597,-36.8895,149.927,5,120
9139458,-36.94156,149.90286,6,185
9168728,-32.589478,149.57393,8,489
9114998,-28.902708,153.52272,8,300
9203080,-32.6901,151.30115,2,289
9102170,-35.3221,150.48,7,133
9189805,-31.475348,152.9269,24,720
9181667,-36.42204,148.61513,8,430
9174015,-35.736374,150.20773,8,159
9163933,-28.658733,153.61586,6,0
9095441,-35.05806,150.67432,8,1552
9013220,-36.30609,150.13403,6,108
9187445,-34.74554,150.82878,8,362
9023055,-32.3853,152.504,10,121
9168015,-35.039448,150.66994,7,286
9182599,-33.863327,151.17313,6,233
9199155,-32.946377,151.69023,6,121
9197572,-35.333916,150.47305,16,495
9013637,-33.6303,150.286,6,236
9068184,-32.007,151.958,12,401
9144701,-30.64474,152.99661,10,201
9030920,-35.3228,150.485,11,0
9063933,-28.6444,153.61,2,148
9209224,-33.282806,148.9491,4,243
9174277,-34.754646,150.49138,4,177
9029223,-33.1411,151.604,6,160
9014687,-34.574493,150.3946,4,217
9013465,-28.6445,153.61,4,162
9123269,-33.70274,150.30817,6,166
9139098,-35.1435,147.356,9,124
9066539,-34.6629,150.852,2,138
9140779,-35.073845,150.69092,8,191
9168310,-32.71471,152.16191,6,203
9024198,-33.5214,151.381,2,95
9188596,-36.421795,148.62064,7,143
9192958,-32.7763,151.341,10,530
9190587,-35.996815,148.65637,4,170
9131965,-35.113956,150.6321,6,151
9169425,-32.172874,152.50076,10,250
9205526,-35.761154,150.20628,8,217
9134318,-33.871635,151.21967,5,263
9057335,-32.6706,152.175,9,295
9206727,-34.58875,150.5889,5,250
9166834,-34.65715,150.29741,36,1870
9027297,-36.442642,148.50108,10,432
9212047,-36.72816,149.98653,4,159
9150109,-34.24345,150.97757,4,329
9195948,-33.379402,148.93118,4,196
9190902,-32.596626,149.58264,4,218
9187031,-33.048225,151.59212,6,179
9190236,-34.045303,151.15312,2,148
9164653,-31.085604,150.93451,4,165
9213870,-36.897377,149.92769,6,0
9008139,-32.3481,152.534,2,239
